text,label
"the service was so slow, which makes me extremely furious.",anger
She laughed with pure delight at the surprise party.,joy
"they threw me a party, totally shocked me.",surprise
"the report is due Friday, as scheduled.",neutral
"they ignored my request, which makes me extremely annoyed.",anger
I feel sad since I lost my keys.,sadness
I gasped in surprise when the lights turned on.,surprise
It's frustrated how the wifi keeps disconnecting.,anger
It's so gloomy that I lost my keys.,sadness
"For the record, the report is due Friday.",neutral
"the news reported a storm, and that terrifies me, I'm anxious.",fear
I have a deep fear of flying on airplanes.,fear
I feel gloomy since the weather ruined our trip.,sadness
The weather today is mild with a chance of clouds.,neutral
I feel afraid thinking about the news reported a storm.,fear
I'm furious that they ignored my request.,anger
"I have a presentation soon, and that terrifies me, I'm anxious.",fear
"we finished the project early, it makes me so happy.",joy
I feel like crying whenever I think about her.,sadness
I can't stop thinking about what we lost.,sadness
Being alone on holidays makes me feel depressed.,sadness
I was shocked when the price dropped suddenly.,surprise
"the news reported a storm, and that terrifies me, I'm scared.",fear
It's furious how he broke his promise again.,anger
I feel worried thinking about I heard a strange sound.,fear
I feel miserable since I missed the train.,sadness
"What a delighted moment, the trip was amazing.",joy
I'm annoyed that they ignored my request.,anger
I'm furious that he broke his promise again.,anger
"he broke his promise again, which makes me extremely annoyed.",anger
I feel down since the weather ruined our trip.,sadness
I feel cheerful because the food was delicious.,joy
The train arrives at the station every hour.,neutral
"Stop lying to me, I am sick and tired of it!",anger
"we finished the project early, it makes me so cheerful.",joy
I'm delighted with how everything turned out.,joy
It's so down that I missed the train.,sadness
"she got the promotion, totally astonished me.",surprise
"Nothing seems to matter anymore, I feel so down.",sadness
"he broke his promise again, which makes me extremely angry.",anger
"For the record, the bus was on time.",neutral
"he showed up early, totally stunned me.",surprise
"What an unexpected twist, I didn't see that coming!",surprise
I was astonished when the price dropped suddenly.,surprise
"the trip was amazing, it makes me so cheerful.",joy
"they cancelled without telling me, which makes me extremely frustrated.",anger
"we finished the project early, it makes me so thrilled.",joy
"they threw me a party, totally surprised me.",surprise
"I lost my keys, and it leaves me gloomy.",sadness
"my plans fell through, and it leaves me miserable.",sadness
"he showed up early, totally stunned me.",surprise
I'm astonished by how quickly everything changed.,surprise
It's so sad that I missed the train.,sadness
I feel cheerful because I met an old friend.,joy
It's afraid when I heard a strange sound.,fear
The puppy's playful energy filled the room with joy.,joy
It's scared when I have a presentation soon.,fear
Walking alone at night makes me feel really scared.,fear
I was astonished when they threw me a party.,surprise
It's astonished that the team won unexpectedly.,surprise
"I can't believe you remembered my birthday, what a surprise!",surprise
He slammed the door in a fit of rage.,anger
"they ignored my request, which makes me extremely furious.",anger
"the news reported a storm, and that terrifies me, I'm worried.",fear
I noted that the report is due Friday.,neutral
"they threw me a party, totally amazed me.",surprise
I noted that the bus was on time.,neutral
This makes my blood boil every single time.,anger
I noted that the bus was on time.,neutral
I feel delighted because I met an old friend.,joy
Her jaw dropped in astonishment at the news.,surprise
"the wifi keeps disconnecting, which makes me extremely annoyed.",anger
I was amazed when the price dropped suddenly.,surprise
"I have a presentation soon, and that terrifies me, I'm scared.",fear
I'm seething with anger after that disrespectful comment.,anger
"I missed the train, and it leaves me down.",sadness
I went to the store to buy some groceries today.,neutral
I am terrified of the dark basement at night.,fear
"What a thrilled moment, the show was great.",joy
"the trip was amazing, it makes me so happy.",joy
The surprise party left her completely speechless.,surprise
I noted that the bus was on time.,neutral
I'm furious that the service was so slow.,anger
"the show was great, it makes me so thrilled.",joy
It's stunned that she got the promotion.,surprise
I feel so blessed and excited about the future.,joy
It's annoyed how they cancelled without telling me.,anger
I noted that the bus was on time.,neutral
"I heard a strange sound, and that terrifies me, I'm anxious.",fear
"For the record, the bus was on time.",neutral
"they cancelled without telling me, which makes me extremely furious.",anger
"the document was updated, as scheduled.",neutral
"For the record, the bus was on time.",neutral
I feel thrilled because we finished the project early.,joy
"the document was updated, as scheduled.",neutral
He punched the wall out of pure frustration and anger.,anger
